"","s1"
"(Intercept)",0.0267718015319715
"1",-0.0849730441402246
"10_10",1.32295471250343
"10_out",1.21161979616996
"10_out_of_10",0
"1_10",-1.48033902374736
"1_2_from",0
"1_out",-2.08273503985262
"2",-0.0448616382834421
"2_10",-2.41077505028649
"2_out",-1.17255828654149
"2_out_of_10",0
"3",-0.268020168640427
"3_10",-2.58873530770022
"3_out_of_10",0
"4",-0.442458651791531
"4_10",-2.84615195367205
"4_out_of_10",0
"7",0.706718083638348
"7.5",1.96106210891244
"7_10",3.7342885568361
"7_out",2.51553470231681
"7_out_of",0
"8",0.45648713062824
"80_s",0.332161209774325
"8_10",2.29668910008531
"8_out",1.63672127923253
"8_out_of",0
"9",0.278490946947092
"9_10",0.87559287918702
"9_out_of_10",0
"able_to",0.187790050823155
"able_to_see",0
"about_as",-0.352667076958464
"about_time",0.135341413088343
"absolutely_no",-0.166275302369531
"absolutely_nothing",-0.390736904397575
"absorbing",0.855992468514617
"absurd",-0.291643365767461
"accent",-0.161740780798006
"acting",-0.115678330974971
"actors",-0.0831647924258081
"adds",0.422813690470123
"again",0.0396563879037185
"again_again",0
"ages",0
"all_in",0.21322184096254
"alright",-0.425252791550761
"also",0.0752850690995887
"although",0.0692510712163694
"always",0.130182365794058
"amateurish",-0.939430755459847
"amazing",0.631702106876548
"animal",-0.419056483139773
"annoyed",-0.0676765040356681
"annoying",-0.640217029521067
"any",-0.0917755317979937
"any_of",-0.100559531025206
"any_of_characters",0
"anyone_interested",1.09243392447371
"anything",-0.142004741703991
"apartment",0.157599484681195
"appalling",-0.504317819955439
"apparently",-0.143766980523674
"appears",-0.176452101617038
"appreciate",0.397038943106865
"appreciated",0.512030001288349
"as_good_as",0
"as_if",-0.154142465336019
"as_much_as",0
"ashamed",-0.622069672244396
"asleep",-0.368422572327703
"at_all",-0.453955675772159
"at_best",-0.943356098859082
"at_end",0
"at_first",0.521304024206803
"at_same",0
"at_time",0.0689213854602677
"at_times",0.207168630386032
"atmosphere",0.355351343865244
"atrocious",-0.639863124434688
"attempt",-0.417437908082829
"attempt_at",-0.204088492047443
"attention",0.138429410866907
"available",0.389471864466454
"avoid",-0.684481265865053
"avoid_this",-1.26779441513345
"awesome",0.577364347064341
"awful",-1.1747706853813
"b_movie",-0.240784394320382
"back_enjoy",0
"back_in",0.249490868380862
"bad",-0.403741424152627
"bad_at_all",0
"bad_movie",-0.262677989134803
"bad_reviews",0.465996895964716
"bad_thing",1.17641228995549
"badly",-0.53007399142921
"baldwin",-0.600390216080647
"barely",-0.456601006953413
"based_on_true_story",0
"basically",-0.314835532437938
"be_comedy",0
"be_disappointed",0.543897830388054
"be_funny",-0.24492656344144
"be_good",-0.469909446508682
"be_missed",1.54099020605328
"beautiful",0.239963190650585
"beautifully",0.538518628862169
"beauty",0.253126140869085
"been_great",-0.523902334696146
"beginning_to",0.241789176754131
"bela_lugosi",-1.25851331658084
"believable",0.463456564282112
"believe_that",-0.136653856736287
"below",-0.332167988215707
"below_average",-1.61215733835507
"best",0.426633344899419
"best_part",-0.632445999012507
"better",-0.136127635276992
"better_than",0.419749386874462
"bible",-0.373646651235805
"bit",0.134291888468168
"bland",-0.417655736341477
"blew_away",1.48397402821394
"blown_up",-1.60639277925865
"bond",0.10003889953717
"book",-0.137786231953315
"bore",-0.988037163752738
"bored",-0.316208469076315
"boredom",-0.603449151798981
"boring",-0.652404435227645
"both",0.161851832746579
"bother",-0.304171969516205
"bothered_to",-0.694312689623482
"bravo",1.41973213869188
"brazil",0.286917421816331
"brilliant",0.63041175230315
"brilliantly",1.26318575644697
"brings",0.159242863188121
"brutal",0.307957589061296
"bugs",0.254162065466307
"bunch_of",-0.134244491110378
"but_not_much",0
"but_sadly",-0.537949809388164
"but_still",0.16356763393181
"but_this",-0.175250045723386
"camera",-0.243878253475287
"can",0.0735404329988571
"can't_wait",0.565816310587996
"can_relate",1.04609952553367
"can_watch",0.349017521100145
"captures",0.253035971287169
"cardboard",-0.51144083824449
"careful",0.0699245037645293
"carries",0.557652526086361
"cash_in",-0.599143051650489
"catch",0.109316119919663
"caught",0.383316068087879
"cerebral",0.619021668408899
"chance",0.409509375996575
"charming",0.271558056105369
"cheap",-0.662800282192948
"check_this",0.444743663295081
"chilling",0.732415070425416
"christian",-0.354154778093882
"christians",-0.326510545943713
"city",0.133714764917683
"classic",0.158919467712554
"cleverly",0.0157170263523691
"cliché",-0.37403346007887
"come_on",-0.227134829756995
"comedies",0.348333809167984
"comic",0.116924848898158
"compelling",0.315413315317324
"complaints",0.233570840078362
"completely",-0.122576435097764
"complex",0.321648010247588
"confusing",-0.38677380512537
"consequences",0.16250670859664
"could",-0.0758474839497536
"could_been",0
"couldn't",-0.150672376283022
"country's",1.36579444928173
"courage",0.311417196058976
"crap",-0.36188609038715
"crappy",-0.501299120165935
"credibility",-0.808125670138841
"cried",0.284220806912241
"day",0
"deals_with",0
"death",0.0386886291353601
"decent",-0.13708792729264
"definite",0.0285808849581475
"definitely",0.291597924082133
"definitely_recommend",1.2210486718514
"definitely_worth",1.69258078535369
"deliciously",1.66804660761138
"delightful",0.736774087093791
"delivers",0.319346044396067
"deserves",0.51166172942046
"detract",0.35280110753014
"did_not",-0.154994632334069
"didn't",-0.0805378090691811
"different",0.224755501490292
"dimensional",-0.490017102230855
"director",-0.197295345271001
"dirty_harry",0.325436543357027
"disappoint",0.490646127456444
"disappointed",-0.241002971280278
"disappointing",-0.706144561744941
"disappointment",-1.12341249050186
"disaster",-0.119150119266264
"disjointed",-1.08710420524098
"distasteful",-0.962962380967302
"do_not_watch_this",0
"doesn't_even",0
"doesn't_help",-1.17478141657134
"doesn't_make",-0.663198858151018
"doesn't_work",-0.58114518321018
"don't",-0.036845659396547
"don't_even",-0.174542553056033
"don't_miss",1.51289292538897
"don't_want",0.411908239723595
"dorm",-0.82642079810534
