"","MovieID","ratings_per_movie","ave_ratings","sum_ratings","Title","Genres","Year"
"1",2858,3428,4.31738623103851,14800,"American Beauty (1999)","Comedy|Drama",1999
"2",260,2991,4.45369441658308,13321,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Fantasy|Sci-Fi",1977
"3",1196,2990,4.29297658862876,12836,"Star Wars: Episode V - The Empire Strikes Back (1980)","Action|Adventure|Drama|Sci-Fi|War",1980
"4",1210,2883,4.02289281997919,11598,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983
"5",2028,2653,4.33735393893705,11507,"Saving Private Ryan (1998)","Action|Drama|War",1998
"6",1198,2514,4.47772474144789,11257,"Raiders of the Lost Ark (1981)","Action|Adventure",1981
"7",593,2578,4.35182311869666,11219,"Silence of the Lambs, The (1991)","Drama|Thriller",1991
"8",2571,2590,4.31583011583012,11178,"Matrix, The (1999)","Action|Sci-Fi|Thriller",1999
"9",2762,2459,4.40626270841806,10835,"Sixth Sense, The (1999)","Thriller",1999
"10",589,2649,4.05851264628162,10751,"Terminator 2: Judgment Day (1991)","Action|Sci-Fi|Thriller",1991
"11",608,2513,4.25467568643056,10692,"Fargo (1996)","Crime|Drama|Thriller",1996
"12",527,2304,4.51041666666667,10392,"Schindler's List (1993)","Drama|War",1993
"13",110,2443,4.23495702005731,10346,"Braveheart (1995)","Action|Drama|War",1995
"14",1270,2583,3.99032133178475,10307,"Back to the Future (1985)","Comedy|Sci-Fi",1985
"15",318,2227,4.55455770094297,10143,"Shawshank Redemption, The (1994)","Drama",1994
"16",858,2223,4.52496626180837,10059,"Godfather, The (1972)","Action|Crime|Drama",1972
"17",480,2672,3.76384730538922,10057,"Jurassic Park (1993)","Action|Adventure|Sci-Fi",1993
"18",1197,2318,4.3037100949094,9976,"Princess Bride, The (1987)","Action|Adventure|Comedy|Romance",1987
"19",2396,2369,4.12747994934572,9778,"Shakespeare in Love (1998)","Comedy|Romance",1998
"20",1617,2288,4.21940559440559,9654,"L.A. Confidential (1997)","Crime|Film-Noir|Mystery|Thriller",1997
"21",1580,2538,3.73995271867612,9492,"Men in Black (1997)","Action|Adventure|Comedy|Sci-Fi",1997
"22",296,2171,4.27821280515891,9288,"Pulp Fiction (1994)","Crime|Drama",1994
"23",2997,2241,4.12539045069166,9245,"Being John Malkovich (1999)","Comedy",1999
"24",1265,2278,3.95302897278314,9005,"Groundhog Day (1993)","Comedy|Romance",1993
"25",1097,2269,3.96518289995593,8997,"E.T. the Extra-Terrestrial (1982)","Children's|Drama|Fantasy|Sci-Fi",1982
"26",356,2194,4.08796718322698,8969,"Forrest Gump (1994)","Comedy|Romance|War",1994
"27",1240,2098,4.15204957102002,8711,"Terminator, The (1984)","Action|Sci-Fi|Thriller",1984
"28",1,2077,4.14684641309581,8613,"Toy Story (1995)","Animation|Children's|Comedy",1995
"29",2716,2181,3.90554791380101,8518,"Ghostbusters (1984)","Comedy|Horror",1984
"30",1214,2024,4.15958498023715,8419,"Alien (1979)","Action|Horror|Sci-Fi|Thriller",1979
