"","MovieID","Title"
"Action","2720","Inspector Gadget (1999)"
"Action","1917","Armageddon (1998)"
"Action","517","Rising Sun (1993)"
"Action","1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"Action","1604","Money Talks (1997)"
"Action","2817","Aces: Iron Eagle III (1992)"
"Action","858","Godfather, The (1972)"
"Action","1616","Peacemaker, The (1997)"
"Action","3000","Princess Mononoke, The (Mononoke Hime) (1997)"
"Action","1134","Johnny 100 Pesos (1993)"
"Adventure","2720","Inspector Gadget (1999)"
"Adventure","1917","Armageddon (1998)"
"Adventure","1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"Adventure","1806","Paulie (1998)"
"Adventure","1030","Pete's Dragon (1977)"
"Adventure","146","Amazing Panda Adventure, The (1995)"
"Adventure","3000","Princess Mononoke, The (Mononoke Hime) (1997)"
"Adventure","1204","Lawrence of Arabia (1962)"
"Adventure","1031","Bedknobs and Broomsticks (1971)"
"Adventure","3285","Beach, The (2000)"
"Animation","1","Toy Story (1995)"
"Animation","2495","Fantastic Planet, The (La Planète sauvage) (1973)"
"Animation","1064","Aladdin and the King of Thieves (1996)"
"Animation","1151","Faust (1994)"
"Animation","1030","Pete's Dragon (1977)"
"Animation","1148","Wrong Trousers, The (1993)"
"Animation","3000","Princess Mononoke, The (Mononoke Hime) (1997)"
"Animation","745","Close Shave, A (1995)"
"Animation","1566","Hercules (1997)"
"Animation","1025","Sword in the Stone, The (1963)"
"Children's","2720","Inspector Gadget (1999)"
"Children's","1","Toy Story (1995)"
"Children's","531","Secret Garden, The (1993)"
"Children's","34","Babe (1995)"
"Children's","1064","Aladdin and the King of Thieves (1996)"
"Children's","1806","Paulie (1998)"
"Children's","1030","Pete's Dragon (1977)"
"Children's","146","Amazing Panda Adventure, The (1995)"
"Children's","374","Richie Rich (1994)"
"Children's","1016","Shaggy Dog, The (1959)"
"Comedy","2720","Inspector Gadget (1999)"
"Comedy","256","Junior (1994)"
"Comedy","1136","Monty Python and the Holy Grail (1974)"
"Comedy","583","Dear Diary (Caro Diario) (1994)"
"Comedy","2626","Edge of Seventeen (1998)"
"Comedy","597","Pretty Woman (1990)"
"Comedy","312","Stuart Saves His Family (1995)"
"Comedy","470","House Party 3 (1994)"
"Comedy","1","Toy Story (1995)"
"Comedy","447","Favor, The (1994)"
"Crime","290","Once Were Warriors (1994)"
"Crime","2580","Go (1999)"
"Crime","50","Usual Suspects, The (1995)"
"Crime","869","Kansas City (1996)"
"Crime","874","Killer: A Journal of Murder (1995)"
"Crime","2231","Rounders (1998)"
"Crime","1234","Sting, The (1973)"
"Crime","858","Godfather, The (1972)"
"Crime","1473","Best Men (1997)"
"Crime","47","Seven (Se7en) (1995)"
"Documentary","1122","Plutonium Circus (1995)"
"Documentary","108","Catwalk (1995)"
"Documentary","1123","Perfect Candidate, A (1996)"
"Documentary","1147","When We Were Kings (1996)"
"Documentary","722","Haunted World of Edward D. Wood Jr., The (1995)"
"Documentary","1315","Paris Was a Woman (1995)"
"Documentary","1145","Snowriders (1996)"
"Documentary","1191","Madonna: Truth or Dare (1991)"
"Documentary","2627","Endurance (1998)"
"Documentary","1901","Dear Jesse (1997)"
"Drama","1124","On Golden Pond (1981)"
"Drama","583","Dear Diary (Caro Diario) (1994)"
"Drama","2443","Playing by Heart (1998)"
"Drama","2626","Edge of Seventeen (1998)"
"Drama","517","Rising Sun (1993)"
"Drama","1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"Drama","812","Magic Hunter (1994)"
"Drama","2272","One True Thing (1998)"
"Drama","290","Once Were Warriors (1994)"
"Drama","1190","Tie Me Up! Tie Me Down! (1990)"
"Fantasy","1126","Drop Dead Fred (1991)"
"Fantasy","1848","Borrowers, The (1997)"
"Fantasy","2","Jumanji (1995)"
"Fantasy","3466","Heart and Souls (1993)"
"Fantasy","2453","Boy Who Could Fly, The (1986)"
"Fantasy","2021","Dune (1984)"
"Fantasy","1019","20,000 Leagues Under the Sea (1954)"
"Fantasy","2872","Excalibur (1981)"
